Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Pastel de moras y crema,4.0,5 valoraciones,medio,30min,2h 15min,12 rebanadas,"['mantequilla sin sal para engrasar', '50 g de mantequilla en trozos', '8 huevos', '250 g de azúcar refinada', '250 g de harina para hot cakes', '2 pizcas de sal', '600 g de crema (min 30% de grasa) fría', '200 g de fresas', '10 g de azúcar refinada', '120 g de frambuesas', '1 cucharada de azúcar glass para espolvorear']","[('Inf. nutricional', 'por 1 rebanada'), ('Calorías', '419 kcal / 1753 kJ'), ('Proteína', '8 g'), ('Grasa', '23 g'), ('Carbohidratos', '42 g'), ('Fibra', '2.3 g')]"
Macarons de avellana,4.7,26 valoraciones,avanzado,40min,2h 20min,30 unidades,"['90 g de avellanas crudas', '110 g de azúcar glas', '2 claras de huevo (60-70 g) a temperatura ambiente (durante mín. 8 horas)', '1 pellizco de sal', '25 g de azúcar', '1 cucharadita de purpurina comestible de oro (apta para uso alimentación)\no bien 4 láminas de oro (aptas para uso alimentación)', '50 g de mantequilla a temperatura ambiente', '50 g de queso mascarpone', '100 g de azúcar glas', '1 cucharadita de extracto natural de vainilla\no bien 1 cucharadita de vainilla líquida']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '84 kcal / 349 kJ'), ('Proteína', '1.11 g'), ('Grasa', '3.72 g'), ('Carbohidratos', '11.39 g'), ('Fibra', '0.23 g')]"
Hojas de parra rellenas de arroz (dolmas),3.8,11 valoraciones,medio,30min,2h 30min,20 unidades,"['200 g de carne de cordero (en trozos de aprox. 3 cm)', '150 g de arroz de grano redondo', '1 cucharadita de sal', '20 hojas de parra (en conserva)', '1300 g de agua', '60 g de zumo de limón']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '46 kcal / 191 kJ'), ('Proteína', '2.08 g'), ('Grasa', '1.48 g'), ('Carbohidratos', '5.94 g'), ('Fibra', '0.26 g')]"
Bollos de camote,4.7,24 valoraciones,medio,20min,3h,9 piezas,"['1000 g de agua', '1 cdita de sal fina', '250 g de camote cortado en trozos', '120 g de leche', '15 g de azúcar morena', '25 g de levadura fresca\no bien 1 cdita de levadura seca instantánea', '50 g de mantequilla más un extra para engrasar', '1 huevo', '420 g de harina de trigo', '½ cdita de sal', '1 cda de azúcar glass']","[('Inf. nutricional', 'por 9 piezas'), ('Calorías', '2409 kcal / 10079 kJ'), ('Proteína', '74 g'), ('Grasa', '58 g'), ('Carbohidratos', '398 g'), ('Fibra', '24 g'), ('Grasas saturadas', '31 g'), ('Sodio', '2174 mg')]"
Pan rústico,5.0,4 valoraciones,medio,20min,2h,35 rebanadas,"['600 g de granos de trigo', '400 g de agua', '30 g de levadura prensada fresca\no bien 3 cucharaditas de levadura seca instantánea (12 g)', '120 g de suero de leche', '150 g de harina de trigo', '2 cucharaditas de sal', '1 cucharada de vinagre balsámico', '1 cucharadita de polvo de malta (opcional)']","[('Inf. nutricional', 'por 1 rebanada'), ('Calorías', '70 kcal / 291 kJ'), ('Proteína', '3 g'), ('Grasa', '0 g'), ('Carbohidratos', '14 g'), ('Fibra', '2.5 g')]"
Tacos de camarón de la Viga,4.5,25 valoraciones,medio,25min,40min,10 porciones,"['1 aguacate sin piel ni semilla', '15 g de mayonesa', '30 g de agua', '4 chiles chipotles adobados', '100 g de col morada en cuartos', '100 g de zanahorias en cuartos', '60 g de mayonesa', '50 g de jugo de limón', '2 pizcas de sal fina o al gusto', '1 pizca de pimienta negra molida o al gusto', 'aceite el necesario para freír', '100 g de harina de trigo', '140 g de cerveza', '2 pizcas de sal fina', '1 pizca de pimienta negra molida', '3 pizcas de polvo para hornear', '10 camarones grandes, pelados y limpios', '10 tortillas de maíz', '10 limones en mitades', 'chiles jalapeños en escabeche al gusto']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '237 kcal / 997 kJ'), ('Proteína', '12 g'), ('Grasa', '9 g'), ('Carbohidratos', '29 g'), ('Fibra', '3 g'), ('Grasas saturadas', '1 g'), ('Sodio', '658 mg')]"
Pay de manzana casero,4.7,195 valoraciones,medio,30min,2h 20min,12 porciones,"['285 g de harina de trigo', '285 g de mantequilla sin sal en cubos y fría', '1 cdita de sal fina', '2 cditas de azúcar refinada', '100 g de crema ácida', 'harina de trigo para trabajar', '4 manzanas tipo Gala o Golden, peladas, descorazonadas y en rebanadas delgadas', '100 - 120 g de azúcar refinada', '10 g de fécula de maíz', '1 ½ - 2 cditas de canela en polvo', '40 g de mantequilla sin sal en cubitos (1 cm)', '2 manzanas tipo Gala o Golden, peladas, descorazonadas y en trozos', 'harina de trigo para trabajar', '1 huevo batido', 'azúcar refinada para espolvorear', 'helado de vainilla para acompañar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '381 kcal / 1598 kJ'), ('Proteína', '4 g'), ('Grasa', '25 g'), ('Carbohidratos', '38 g'), ('Fibra', '2 g')]"
Sushi cakes,4.4,18 valoraciones,medio,30min,1h,8 porciones,"['45 g de vinagre de arroz natural', '1 cdita de sal fina', '2 cditas de azúcar', '275 g de arroz para sushi', '1300 g de agua', '260 g de salsa de soya', '250 g de miel de abeja', '30 g de vinagre de arroz', '30 de vinagre de vino tinto', '350 g de atún fresco en trozos (4 cm) y semi congelado (vea la sugerencia)', '1 ½ cditas de aceite de ajonjolí', 'de fécula de maíz la necesaria', 'aceite para freir el necesario', '1 aguacate cortado en rebanadas', 'semillas de ajonjolí las necesarias para decorar']","[('Inf. nutricional', 'por 1 porciones'), ('Calorías', '350 kcal / 1470 kJ'), ('Proteína', '13 g'), ('Grasa', '20 g'), ('Carbohidratos', '30 g'), ('Fibra', '1 g')]"
Lasaña de berenjena,4.7,56 valoraciones,medio,25min,1h,4 porciones,"['2 berenjenas en rebanadas', '500 g de pasta fresca consulte la sección de Básicos', '200 g de cebolla en trozos', '2 dientes de ajo', '1 zanahoria', '40 g de aceite de oliva', '1000 g de jitomate en trozos', '10 g de vino blanco', '2 cucharaditas de orégano seco', '1 cucharadita de sal', '1 pizca de pimienta negra molida', '200 g de mozzarella rebanado']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '554 kcal / 2326 kJ'), ('Proteína', '22 g'), ('Grasa', '26 g'), ('Carbohidratos', '55 g')]"
Flan de pera a la vainilla,4.3,24 valoraciones,medio,15min,3h 15min,6 raciones,"['100 de caramelo líquido (para los moldes)', '2 peras en almíbar en mitades y escurridas', '500 g de leche entera', '1 vaina de vainilla (abierta longitudinalmente)', '110 g de azúcar', '4 huevos', '800 g de agua']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '280 kcal / 1172 kJ'), ('Proteína', '7.8 g'), ('Grasa', '7.3 g'), ('Carbohidratos', '45.9 g'), ('Fibra', '0.8 g')]"
Brioche,4.8,62 valoraciones,medio,20min,5h,16 rebanadas,"['170 g de mantequilla y un poco más para engrasar', '20 g de leche', '20 g de levadura prensada fresca desmenuzada\no bien 2 cditas de levadura seca instantánea (aprox. 12 g)', '350 g de harina y un poco más para espolvorear', '4 huevos', '60 - 100 g de azúcar o al gusto', '1 cdita de sal fina o al gusto', '1 yema de huevo para barnizar']","[('Inf. nutricional', 'por 1 rebanada'), ('Calorías', '200 kcal / 836 kJ'), ('Proteína', '5 g'), ('Grasa', '11 g'), ('Carbohidratos', '20 g'), ('Fibra', '1 g')]"
Albóndigas masala con calabacitas,4.5,15 valoraciones,medio,20min,1h 20min,6 porciones,"['300 g de lomo de cerdo en trozos y ligeramente congelada', '300 g de ternera, en trozos y ligeramente congelada', '3 dientes de ajo', '5 g de perejil fresco', '2 pizcas de comino en polvo', '¾ cdita de pimienta molida', '90 g de leche', '1 huevo', '65 g de pan molido', '4 cditas de sal', '340 g de calabacita salpimentadas y coratadas en bastones', '45 g de jengibre', '25 g de aceite', '¼ cdita de semillas de comino', '¼ cdita de pimienta de cayena molida', '¼ cdita de paprika', '1 clavo de olor', '¼ cdita de canela en polvo', '½ cdita de jengibre en polvo', '1 cdita de cúrcuma, en polvo', '1 cdita de garam masala\no bien 1 cdita de curry en polvo', '30 g de cebolla', '420 g de puré de tomate', '380 g de agua', 'menta fresca picada, para decorar', 'yogur natural para acompañar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '298 kcal / 1252 kJ'), ('Proteína', '23 g'), ('Grasa', '16 g'), ('Carbohidratos', '17 g'), ('Fibra', '3 g')]"
Tartaletas de chocolate con dulce de leche y nuez,4.4,11 valoraciones,medio,30min,2h,30 unidades,"['250 g de harina de repostería', '100 g de azúcar glas', '1 pellizco de sal', '110 g de mantequilla en trozos (a temperatura ambiente)', '1 huevo', '200 g de dulce de leche', '35 - 40 g de nueces peladas en trozos', '150 g de chocolate con leche\no bien 150 g de chocolate fondant para postres (50% cacao)', '55 g de agua', '55 g de mantequilla']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '181 kcal / 758 kJ'), ('Proteína', '2.22 g'), ('Grasa', '7.84 g'), ('Carbohidratos', '25.47 g'), ('Fibra', '0.49 g')]"
"Bocata de calamares, todo un clásico renovado",4.1,29 valoraciones,medio,1h,3h,16 unidades,"['230 g de agua', '80 g de leche entera', '10 g de levadura prensada fresca', '5 g de polvo de hornear', '60 g de azúcar', '250 g de harina de fuerza (y un poco más para espolvorear)', '½ cucharadita de sal', '500 g aceite de oliva (para freír)', '150 g de aceite de girasol', '50 g de aceite de oliva', '1 diente de ajo', '3 ramitas de perejil fresco (solo las hojas)', '50 g de huevo', '2 pellizcos de sal', '20 g de alga nori', '400 g de calamares pequeños cortados en anillas de 5 mm', '100 g de harina de rebozar (para fritura)', '500 g de aceite de oliva (para freír)', '3 - 4 limones cortados en gajos para servir']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '216 kcal / 904 kJ'), ('Proteína', '6.33 g'), ('Grasa', '12.27 g'), ('Carbohidratos', '20.14 g'), ('Fibra', '0.85 g')]"
Panecillos integrales,4.5,2 valoraciones,medio,15min,3h 40min,12 pieza,"['375 g de harina integral', '50 g de harina de centeno', '150 g de harina', '10 g de levadura prensada fresca', '350 g de agua', '1 - 2 cucharaditas de sal', '6 - 8 cubitos de hielo para producir vapor']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '192 kcal / 801 kJ'), ('Proteína', '6 g'), ('Grasa', '2.5 g'), ('Carbohidratos', '36.3 g'), ('Fibra', '4.4 g')]"
Francesillas,4.3,6 valoraciones,medio,15min,3h 15min,12 pieza,"['10 g de sal', '500 g de harina', '25 g de levadura prensada fresca\no bien 1 sobre de levadura seca instantánea', '1 cucharadita de miel', '280 g de agua', '10 g de mantequilla']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '153 kcal / 638 kJ'), ('Proteína', '4.45 g'), ('Grasa', '1.24 g'), ('Carbohidratos', '30.88 g'), ('Fibra', '1.6 g')]"
Cake con corazón,4.3,7 valoraciones,medio,30min,4h,10 rebanadas,"['110 g de leche', '5 g de zumo de limón', '55 g de mantequilla (y un poco más para engrasar)', '150 g de azúcar', '1 huevo', '¼ cucharadita de bicarbonato', '¼ cucharadita de vinagre', '1 cucharadita de vainilla líquida\no bien ¼ cucharadita de aroma de fresa', '1 cucharadita de colorante alimentario rojo', '160 g de harina de repostería (y un poco más para enharinar)', '3 huevos', '150 g de mantequilla fundida', '150 g de azúcar', '15 g de polvo de hornear (1 sobre)', '230 g de harina de repostería']","[('Inf. nutricional', 'por 1 rebanada'), ('Calorías', '450 kcal / 1882 kJ'), ('Proteína', '7.63 g'), ('Grasa', '20.57 g'), ('Carbohidratos', '58.67 g'), ('Fibra', '1.47 g')]"
Minihamburguesas de cordero,4.9,11 valoraciones,medio,30min,2h 40min,12 unidades,"['45 g de leche entera', '5 - 10 g de levadura prensada fresca', '2 huevo', '150 g de harina de fuerza', '1 pellizco de sal', '20 g de mantequilla (y un poco más para engrasar el bol)', '1 cucharadita de semillas de sésamo tostado para espolvorear', '1 - 2 dientes de ajo', '4 ramitas de menta fresca (solo las hojas)', '400 - 500 g de carne de cordero picada (pierna deshuesada)', '1 huevo', '1 cucharada de pan rallado', '1 pellizco de pimienta negra molida', '1 cucharadita de sal', '1 chorrito de aceite de oliva virgen extra', '100 g de espinacas baby frescas', '12 cucharadas de kétchup']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '162 kcal / 677 kJ'), ('Proteína', '9.17 g'), ('Grasa', '8.8 g'), ('Carbohidratos', '11.5 g'), ('Fibra', '0.82 g')]"
King Cake (USA),5.0,1 valoración,medio,30min,4h 45min,12 rebanadas,"['120 g de mantequilla sin sal a temperatura ambiente', 'mantequilla sin sal para engrasar', '120 g de leche entera', '60 g de azúcar', '2 ¼ cditas de levadura seca', '2 huevos grandes', '1 cdita de canela en polvo', '½ cdita de sal', '1 cdita extracto de vainilla natural', '480 g de harina de trigo', '120 g de mantequilla sin sal en trozos, a temperatura ambiente', '210 g de azúcar moreno', '2 cditas de canela en polvo', '½ cdita de sal', 'de harina para enharinar', '1 huevo grande', '1 cdita de agua', '240 g de queso crema en trozos, a temperatura ambiente', '180 g de azúcar glass', '45 g de leche entera', 'de azúcar de caña amarillo, verde y morado\no bien de chochitos de colores amarillo, verde y morado']","[('Inf. nutricional', 'por 12 rebanadas'), ('Calorías', '6468.3 kcal / 27063.4 kJ'), ('Proteína', '97 g'), ('Grasa', '308.3 g'), ('Carbohidratos', '840.9 g'), ('Fibra', '17.1 g'), ('Grasas saturadas', '179.3 g'), ('Sodio', '4466.9 mg')]"
Dreikönigsküchlein (Alemania),5.0,2 valoraciones,medio,30min,3h,12 piezas,"['80 g de leche', '¼ cubito de levadura fresca (aprox. 10 g)', '1 cdita de azúcar', '130 g de harina de fuerza', 'agua tibia, para cubrir', '120 g de azúcar', '1 pieza de cáscara de limón amarillo', '1 pieza de cáscara de naranja (1 x 4 cm), peladas finas', '60 g de leche', '70 g de mantequilla sin sal blanda, en trozos', '2 huevos', '½ cubito de levadura fresca (aprox. 20 g)', '30 g de esencia de azahar (ver tip)', '450 g de harina de fuerza', '1 pizca de sal', 'harina de fuerza', '1 de huevo', '100 - 150 g de fruta cristalizada en trozos al gusto', '30 g de almendras fileteadas', '50 g de azúcar humedecido con un poco de agua']","[('Inf. nutricional', 'por 12 piezas'), ('Calorías', '4282.7 kcal / 17918.8 kJ'), ('Proteína', '116.2 g'), ('Grasa', '105.6 g'), ('Carbohidratos', '724.7 g'), ('Fibra', '28.1 g'), ('Grasas saturadas', '47 g'), ('Sodio', '630.2 mg')]"
Bolo-rei (Portugal),5.0,1 valoración,medio,15min,3h 15min,1200 gramos,"['70 g de azúcar', '1 naranja solo la cáscara, sin nada de la parte blanca', '1 limón amarillo solo la cáscara, sin nada de la parte blanca', '130 g de leche', '70 g de mantequilla', '20 g de levadura fresca\no bien 2 cditas de levadura seca instantánea', '3 yemas de huevo', '40 g de oporto', '20 g de jugo de naranja', '1 pizca de sal', '450 g de harina de fuerza', '250 g de fruta cristalizada en trozos o frutos secos', 'de harina de fuerza para enharinar', 'azúcar al gusto para decorar', 'agua al gusto', 'fruta cristalizada en trozos al gusto para decorar', '1 yema de huevo batida con una pizca de sal']","[('Inf. nutricional', 'por 100 g'), ('Calorías', '306.2 kcal / 1281.2 kJ'), ('Proteína', '6.5 g'), ('Grasa', '7.1 g'), ('Carbohidratos', '54 g'), ('Fibra', '2.1 g'), ('Grasas saturadas', '3.8 g'), ('Sodio', '43.1 mg')]"
Galette des rois pomme-cannelle (Francia),5.0,1 valoración,medio,20min,3h,6 porciones,"['500 g de manzana (cualquier tipo) peladas y cortadas en trozos', '30 g de azúcar refinada', '2 cdita de canela en polvo ajuste al gusto', '½ cdita de sal', '200 g de mantequilla sin sal congelada en trozos pequeños (1-2 cm)', '200 g de harina de trigo', '90 g de agua fría', '½ cdita de sal', 'de harina de trigo para enharinar', '1 huevo', '1 cdita de sal gruesa']","[('Inf. nutricional', 'por 1 piezas'), ('Calorías', '439.2 kcal / 1837.7 kJ'), ('Proteína', '5.3 g'), ('Grasa', '28.5 g'), ('Carbohidratos', '42.7 g')]"
"Strudel de manzana, arándanos y pistaches con masa filo",4.0,1 valoración,medio,15min,45min,10 porción,"['150 g de azúcar moscabada', '100 g de pistaches descascarillados sin sal', '150 g de arándanos deshidratados', '1 cdita de canela en polvo', '10 g jugo de limón amarillo', '500 g de manzana sin tallo, sin piel, sin corazón, en trozos', '6 lámina de pasta filo', '130 g de mantequilla sin sal fundida', '20 g de almendras fileteadas', '20 g de mantequilla sin sal fundida', '1 - 2 cdita de azúcar glass', '3 - 4 frambuesas', '1 cdita de ralladura de limón']","[('Inf. nutricional', 'por 10 porción'), ('Calorías', '3671 kcal / 15359 kJ'), ('Proteína', '42.1 g'), ('Grasa', '192.2 g'), ('Carbohidratos', '484.6 g'), ('Fibra', '39.2 g'), ('Grasas saturadas', '86.6 g'), ('Sodio', '1035.8 mg')]"
Estrella con crema de chocolate y avellanas,5.0,4 valoraciones,medio,40min,2h,16 porción,"['180 g de leche entera', '60 g de azúcar', '11 g de levadura seca', '60 g de mantequilla temperatura ambiente', '450 g de harina', '1 cdita de sal', '2 huevos', '300 g de crema de avellanas y chocolate', '1 yema de huevo', '2 cda de leche']","[('Inf. nutricional', 'por 16 porción'), ('Calorías', '4243.2 kcal / 17753.4 kJ'), ('Proteína', '93.6 g'), ('Grasa', '166.3 g'), ('Carbohidratos', '585.5 g'), ('Fibra', '28.1 g'), ('Grasas saturadas', '124.2 g'), ('Sodio', '2714.7 mg')]"
Galletas crujientes de chocolate,5.0,4 valoraciones,medio,20min,1h 15min,30 pieza,"['120 g de harina de trigo', '15 g de cocoa en polvo', '½ cdita de bicarbonato de sodio', '¼ cdita de sal', '120 g chocolate amargo (50% cocoa) en trozos', '60 g de mantequilla sin sal fría cortada en trozos', '100 g de azúcar', '1 huevo']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '67 kcal / 281 kJ'), ('Proteína', '0.95 g'), ('Grasa', '3.37 g'), ('Carbohidratos', '8.27 g'), ('Fibra', '0.63 g')]"
"Barritas de chocolate, naranja y canela proteínicas",5.0,1 valoración,medio,15min,1h 20min,10 piezas,"['80 g de avena', '40 g de semillas de chía', '¼ cdita de sal', '2 cditas de ralladura de naranja rallado fino', '30 g de jugo de naranja, recién exprimido', '50 g de proteína en polvo vainilla o chocolate', '50 g de quinoa blanca', '30 g de cacao en polvo', '400 g de garbanzo blanco, enlatado escurrido y enjuagado', '170 g de datíl, deshuesado', '60 g de cacahuates pelados y sin sal\no bien 60 g de mantequilla de cacahuate', '1 cdita de canela en polvo', '50 g de semillas de cáñamo', '50 g de semillas de calabaza', '30 g de chispas de chocolate amargo']","[('Inf. nutricional', 'por 10 piezas'), ('Calorías', '3182 kcal / 13322 kJ'), ('Proteína', '148 g'), ('Grasa', '134 g'), ('Carbohidratos', '292 g'), ('Fibra', '79.8 g'), ('Grasas saturadas', '25 g'), ('Sodio', '2154 mg')]"
Cake-Pops Fantasmas,4.0,1 valoración,medio,1h,4h,16 piezas,"['120 g de mantequilla sin sal temperatura ambiente, en trozos', '100 g de azúcar', '2 huevos', '130 g de harina de trigo', '1 cdita de polvo para hornear', '20 g de leche', '200 g de mascarpone', '250 g de chocolate blanco en piezas', '32 grageas de chocolate de colores en forma de ojos']","[('Inf. nutricional', 'por 16 piezas'), ('Calorías', '4428 kcal / 18530 kJ'), ('Proteína', '56 g'), ('Grasa', '280 g'), ('Carbohidratos', '421 g'), ('Fibra', '8.6 g')]"
Pastel de 10º aniversario Cookidoo,4.2,6 valoraciones,medio,30min,2h,16 porción,"['250 g de azúcar', '50 g de crema para batir (30-40% grasa)', '180 g de chocolate blanco en trozos pequeños o callets', '50 g de mantequilla en trozos, a temperatura ambiente', '100 g de mascarpone', 'de mantequilla para engrasar', 'de harina de trigo para espolvorear', '150 g de azúcar', '100 g de azúcar morena', '250 g de mantequilla cortado en trozos, a temperatura ambiente', '1 vaina de vainilla Sólo la vainillina', '6 huevos', '200 g de leche', '350 g de harina de trigo', '1 cdita de polvo para hornear', '400 g de crema para batir (30-40% grasa) refrigerada', '16 g de estabilizador para crema batida', '500 g de frutas para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '568.4 kcal / 2378.1 kJ'), ('Proteína', '7 g'), ('Grasa', '33.8 g'), ('Carbohidratos', '61.5 g'), ('Fibra', '1.2 g')]"
Buñuelos de calabaza,5.0,1 valoración,medio,20min,1h 20min,17 pieza,"['400 g de azúcar', '600 g de pulpa de calabaza de castilla espaguetis tipo cabello de ángel o espaguetis, cortados en trozos (5-6 cm)', '850 g de agua', '1 cdita jugo de limón amarillo, recién exprimido', '1 cdita ralladura de limón amarillo', '1 cdita canela en polvo', '3 huevos', '10 g de azúcar aromatizada con canela en polvo', '250 g de requesón', '3 - 4 pizca de sal', '250 g de harina de trigo', '10 g de polvo para hornear', '800 g de aceite para freír']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '612.1 kcal / 2560.9 kJ'), ('Proteína', '4.7 g'), ('Grasa', '48.7 g'), ('Carbohidratos', '41.5 g'), ('Fibra', '0.7 g'), ('Grasas saturadas', '4.1 g'), ('Sodio', '145.1 mg')]"
Tarta de queso con espirales de manzana,5.0,2 valoraciones,medio,20min,1h 20min,12 porciones,"['250 g de azúcar', '200 g de mantequilla', '370 g de harina de trigo', '1 huevo', '1 pizca de sal', '1 ½ cdita de azúcar avainillado', '125 g de crema para batir (30-40% grasa)', '80 g de queso mascarpone\no bien 80 g de queso ricotta', '675 g de leche', '1 cdita de extracto de vainilla natural', '50 g de fécula de maíz', '4 yemas de huevo', '60 g de jugo de limón amarillo, recién exprimido', '1000 g de agua', '600 g de manzana (cualquier tipo) Se retira el tallo y se recortan los extremos. Recortado para que quepa por el alimentador', '2 huevos', '50 g de vainilla en polvo', '20 g de almendras fileteadas, tostadas\no bien 10 g azúcar glass']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '505.6 kcal / 2115.5 kJ'), ('Proteína', '9 g'), ('Grasa', '25.3 g'), ('Carbohidratos', '59.9 g'), ('Fibra', '2.5 g'), ('Grasas saturadas', '14.4 g'), ('Sodio', '103.7 mg')]"
Huevos al horno sobre espirales de verduras,5.0,2 valoraciones,medio,30min,1h,4 porciones,"['400 - 450 g de calabacita con los extremos recortados. Si son grandes, se recortan en forma circular para que quepan por el alimentador', '200 - 250 g de camote con los extremos recortados. Recortado si es necesario para que quepan por el alimentador.', '½ cdita de sal para espolvorear', '3 cdas de aceite de oliva', '80 g de cebolla reducidas a la mitad', '2 ramitas de hojas de albahaca fresca solo las hojas', '100 g de champiñones en rebanadas', '10 g de aceite de oliva', '½ - 1 cdita de pasta harissa', '4 piezas de huevos', '1 ½ cdita de hojuela de chile seco para espolvorear o al gusto', '1 pizca de sal para sazonar o al gusto', '1 pizca de pimienta negra molida para sazonar o al gusto', '1 ramita de albahaca fresca para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '259.7 kcal / 1086.5 kJ'), ('Proteína', '9.1 g'), ('Grasa', '17.2 g'), ('Carbohidratos', '17.6 g'), ('Fibra', '3.4 g'), ('Grasas saturadas', '3.3 g'), ('Sodio', '403.1 mg')]"
Pollo con costra de parmesano y crema de limón,4.6,5 valoraciones,medio,15min,40min,4 porciones,"['500 g de agua para el Varoma', '200 g de espárragos blancos', 'jugo de limón amarillo al gusto', '100 g de queso parmesano', '60 g de pan molido', '1 limón amarillo solamente la ralladura', '4 pechugas de pollo sin hueso, ni piel', 'harina de trigo para empanizar', '1 huevo batido para empanizar', '½ cdita de sal fina o al gusto', '1 limón solamente la ralladura', '30 g de jugo de limón amarillo', '400 g de crema para batir (30-40% grasa)', '50 g corazones de alcachofa fileteados', 'hojas de albahaca frescas para servir']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '651 kcal / 2731 kJ'), ('Proteína', '71 g'), ('Grasa', '32 g'), ('Carbohidratos', '17 g'), ('Fibra', '1 g'), ('Grasas saturadas', '18 g'), ('Sodio', '2132 mg')]"
Prime rib con glaseado de miel y romero,5.0,1 valoración,medio,10min,2h 30min,8 porciones,"['30 g de hojas de romero fresco', '1 cda de mostaza', '40 g de mantequilla', '140 g de miel de abeja', '5 g de tomillo fresco', '3500 g de costillar de res', 'sal', 'pimienta recién molida', 'ramas de romero fresco para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '137 kcal / 576 kJ'), ('Proteína', '2 g'), ('Grasa', '6 g'), ('Carbohidratos', '23 g'), ('Fibra', '5 g'), ('Grasas saturadas', '3 g'), ('Sodio', '5942 mg')]"
Costillas teriyaki,5.0,2 valoraciones,medio,15min,1h 30min,6 porciones,"['2 cditas de ajo en polvo', '150 g de vinagre de arroz', '200 g de azúcar mascabado', '4 cdas de fécula de maíz', '50 g de agua', '2 cditas de aceite de ajonjolí', '2 cditas de jengibre en polvo', '150 g de salsa de soya', 'sal', '1 rack completo de costillas de cerdo baby back', '6 elotes amarillos en tercios']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '1671 kcal / 6791 kJ'), ('Proteína', '156 g'), ('Grasa', '81 g'), ('Carbohidratos', '57 g'), ('Fibra', '3 g'), ('Grasas saturadas', '28 g'), ('Sodio', '2021 mg')]"
Helado de cheesecake,4.3,3 valoraciones,medio,20min,13h,1300 g,"['180 g de galletas de avena', '10 g de azúcar', '½ cdita de canela en polvo', '35 g de mantequilla', '230 g de leche', '400 g de crema para batir (30-40% grasa)', '160 g de azúcar', '6 yemas de huevo', '200 g de queso crema', '1 cdita de vainilla', '200 g de cerezas deshuesadas', '70 g de agua', '100 g de azúcar', '1 limón sólo el jugo', '10 g de maicena']","[('Inf. nutricional', 'por 100 gramo'), ('Calorías', '358 kcal / 1503 kJ'), ('Proteína', '6 g'), ('Grasa', '22 g'), ('Carbohidratos', '34 g'), ('Fibra', '0 g'), ('Grasas saturadas', '0 g'), ('Sodio', '0 mg')]"
Delicia de helado,4.2,5 valoraciones,medio,30min,10h,12 porciones,"['4 láminas de grenetina', 'agua cantidad necesaria para hidratar', '150 g de galletas, tipo María', '800 g de crema para batir (30-40% grasa) bien fría', '1 lata de leche condensada (aprox. 370 g)', '200 g de azúcar', '100 g de mantequilla y un poco más para engrasar', '300 g de chocolate amargo en trozos y un poco más para decorar', '5 huevos', '1 pizca de sal']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '687 kcal / 2886 kJ'), ('Proteína', '10 g'), ('Grasa', '46 g'), ('Carbohidratos', '57 g'), ('Fibra', '0 g'), ('Grasas saturadas', '0 g'), ('Sodio', '0 mg')]"
Cheesecake de mora azul,4.0,7 valoraciones,medio,15min,5h,10 porciones,"['100 g de azúcar', '220 g de galletas integrales', '50 g de hojuelas de avena', '20 g de azúcar morena', '60 g de mantequilla sin sal y un poco más para engrasar', '400 g de queso crema', '200 g de crema (min 30% de grasa)', '200 g de queso mascarpone', '10 g de harina', '4 huevos', '100 g de fresas\no bien 100 g de mermelada de fresa', '50 g de oporto', '250 g de mora azul']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '545 kcal / 2289 kJ'), ('Proteína', '19 g'), ('Grasa', '34 g'), ('Carbohidratos', '40 g'), ('Fibra', '0 g'), ('Grasas saturadas', '0 g'), ('Sodio', '0 mg')]"
